0,0
0.05,4.518245116
0.1,8.398013509
0.15,11.74372114
0.2,14.65326909
0.25,17.21820596
0.3,19.52389029
0.35,21.64965296
0.4,23.66895962
0.45,25.64957305
0.5,27.65371563
0.55,29.73823169
0.6,31.95474998
0.65,34.34984603
0.7,36.96520456
0.75,39.83778193
0.8,42.99996851
0.85,46.4797511
0.9,50.30087534
0.95,54.48300812
1,59.0419
1.05,63.98954758
1.1,69.33435596
1.15,75.08130111
1.2,81.23209229
1.25,87.78533447
1.3,94.73669074
1.35,102.0790447
1.4,109.8026628
1.45,117.895357
1.5,126.3426469
1.55,135.1279222
1.6,144.2326052
1.65,153.6363132
1.7,163.317021
1.75,173.2512229
1.8,183.4140957
1.85,193.7796606
1.9,204.3209458
1.95,215.0101491
2,225.8188
2.05,236.7179223
2.1,247.6781964
2.15,258.6701218
2.2,269.6641795
2.25,280.6309942
2.3,291.5414972
2.35,302.3670881
2.4,313.079798
2.45,323.6524512
2.5,334.0588281
2.55,344.2738274
2.6,354.2736284
2.65,364.0358537
2.7,373.5397315
2.75,382.7662577
2.8,391.6983589
2.85,400.3210543
2.9,408.6216182
2.95,416.5897428
3,424.2177
3.05,431.5005043
3.1,438.4360749
3.15,445.0253983
3.2,451.2726907
3.25,457.1855603
3.3,462.7751696
3.35,468.0563984
3.4,473.0480052
3.45,477.7727907
3.5,482.2577594
3.55,486.5342823
3.6,490.6382596
3.65,494.6102824
3.665,497.834
3.671,501.364
3.705,504.554
3.759,504.486
3.803,503.671
3.823,504.622
3.862,505.504
3.926,506.25
3.999,508.49
4.014,508.897
4.044,497.427
4.058,492.133
4.019,483.921
4.083,480.527
4.147,469.939
4.235,461.523
4.225,456.297
4.23,453.786
4.225,437.565
4.279,432
4.382,427.588
4.407,416.729
4.441,405.666
4.397,397.25
4.446,389.784
4.47,381.368
4.618,375.056
4.608,360.803
4.652,348.925
4.613,342.206
4.628,337.591
4.657,333.654
4.814,331.618
4.824,328.36
4.848,323.202
4.794,319.13
4.834,315.465
4.878,309.899
5.01,306.099
5.005,297.954
5.04,291.981
4.991,286.552
5.05,281.461
5.118,276.71
5.226,272.91
5.211,267.819
5.216,263.951
5.187,259.335
5.251,254.992
5.334,249.833
5.393,243.793
5.413,236.259
5.398,231.508
5.403,227.368
5.452,225.536
5.57,224.585
5.589,221.26
5.624,217.934
5.57,213.794
5.604,211.486
5.638,209.857
5.795,210.061
5.791,206.532
5.82,205.106
5.781,202.527
5.805,201.917
5.845,200.695
5.987,200.559
5.992,199.473
6.021,197.166
5.967,195.537
6.006,193.908
6.06,192.007
6.183,190.243
6.188,187.256
6.213,184.338
6.178,180.741
6.217,179.858
6.301,179.248
6.384,178.705
6.394,175.99
6.384,172.868
6.355,168.999
6.428,167.709
6.512,166.42
6.576,164.791
6.59,162.212
6.581,159.497
6.576,157.189
6.625,156.171
6.747,156.307
6.757,154.475
6.782,153.321
6.757,151.692
6.787,151.896
